"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"30198099999","2023-01-01T00:00:00","58.0666666","123.7166666","416.76","SUON TIT, RS","FM-12","4","","-16","-10","","","-0.01","3","75","","30.42","28.74","6.21","-11","340","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06030198 41997 83402 11232 21264 39733 40301 53002 77173 80007=","","","","","","","","","",""
"30198099999","2023-01-01T03:00:00","58.0666666","123.7166666","416.76","SUON TIT, RS","FM-12","4","","-15","-10","","","-0.01","2","80","","30.43","28.76","6.21","-11","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06030198 41997 80000 11235 21260 39738 40306 52005 77173 80007=","","","","","","","","","",""
"30198099999","2023-01-01T06:00:00","58.0666666","123.7166666","416.76","SUON TIT, RS","FM-12","4","","-16","-10","","","+0.01","8","74","","30.43","28.74","6.21","-11","350","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06030198 41997 83501 11236 21269 39734 40304 58004 77172 80007=","","","","","","","","","",""
"30198099999","2023-01-01T09:00:00","58.0666666","123.7166666","416.76","SUON TIT, RS","FM-12","4","","-16","-15","","","-0.01","3","97","","30.43","28.75","6.21","-15","310","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08230198 11997 83101 11261 21264 39737 40305 53003 69982 77172 80007 333 21270 47026=","","","","","","","","","",""
"30198099999","2023-01-01T12:00:00","58.0666666","123.7166666","416.76","SUON TIT, RS","FM-12","4","","-13","-7","","","+0.01","8","75","OVC:08","30.42","28.74","6.21","-8","340","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06030198 41997 83401 11219 21252 39734 40300 58003 77172 8802/=","","","","","","","","","",""
"30198099999","2023-01-01T15:00:00","58.0666666","123.7166666","416.76","SUON TIT, RS","FM-12","4","","-11","-5","","","+0.01","7","75","OVC:08","30.39","28.73","6.21","-6","310","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06030198 41997 83102 11207 21240 39729 40291 57005 77173 8807/=","","","","","","","","","",""
"30198099999","2023-01-01T18:00:00","58.0666666","123.7166666","416.76","SUON TIT, RS","FM-12","4","","-9","-3","","","+0.01","7","75","SCT:03","30.36","28.71","6.21","-4","330","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06030198 41997 83302 11195 21228 39724 40282 57005 77173 83037=","","","","","","","","","",""
"30198099999","2023-01-01T21:00:00","58.0666666","123.7166666","416.76","SUON TIT, RS","FM-12","4","","-8","-2","","","+0.02","7","75","","30.34","28.69","6.21","-3","020","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN07630198 11997 80201 11190 21223 39717 40275 57007 60012 77173 80007 333 11190=","","","","","","","","","",""
"30198099999","2023-01-02T00:00:00","58.0666666","123.7166666","416.76","SUON TIT, RS","FM-12","4","","-8","-2","","","-0.00","3","75","","30.35","28.70","6.21","-3","350","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06030198 41997 83502 11187 21220 39718 40276 53001 77172 80007=","","","","","","","","","",""
"30198099999","2023-01-02T03:00:00","58.0666666","123.7166666","416.76","SUON TIT, RS","FM-12","4","","-7","-1","","","0.00","4","75","OVC:08","30.35","28.70","6.21","-2","050","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06030198 41997 80501 11186 21219 39718 40276 54000 77172 8802/=","","","","","","","","","",""
