"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"67205099999","2005-03-25T14:00:00","-11.361789","40.354875","27.12","MOCIMBOA DA PRAIA, MZ","FM-12","4","","81","86","","||TS","","9","85","","29.73","","18.64","","070","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  25123 67205 11580 70705 10300 20272 40069 69961 71711 879// 333 59009 94390;","","","","","","","","","",""
"67205099999","2005-03-26T08:00:00","-11.361789","40.354875","27.12","MOCIMBOA DA PRAIA, MZ","FM-12","4","","77","84","","","","9","79","","29.83","","18.64","","270","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN110AAXX  26063 67205 12580 62703 10290 20250 40103 60064 84933 333 20252 50400 55065 58004 94390 555 00062 10027;","","","","","","","","","",""
"67205099999","2005-03-26T14:00:00","-11.361789","40.354875","27.12","MOCIMBOA DA PRAIA, MZ","FM-12","4","","81","93","","","","9","69","","29.73","","18.64","","020","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN070AAXX  26123 67205 32580 70207 10338 20274 40067 84906 333 58002 94398;","","","","","","","","","",""
"67205099999","2005-03-27T08:00:00","-11.361789","40.354875","27.12","MOCIMBOA DA PRAIA, MZ","FM-12","4","","78","81","","","","9","92","","29.86","","18.64","","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN104AAXX  27063 67205 12580 70000 10270 20256 40113 69954 84906 333 20260 50340 55088 58010 94390 555 10062;","","","","","","","","","",""
"67205099999","2005-03-27T14:00:00","-11.361789","40.354875","27.12","MOCIMBOA DA PRAIA, MZ","FM-12","4","","70","92","","","","9","49","","29.82","","18.64","","020","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN070AAXX  27123 67205 32580 60203 10333 20212 40099 83906 333 58032 94390;","","","","","","","","","",""
"67205099999","2005-03-29T08:00:00","-11.361789","40.354875","27.12","MOCIMBOA DA PRAIA, MZ","FM-12","4","","81","85","","","","9","88","","29.87","","18.64","","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN110AAXX  29063 67205 12580 40000 10295 20274 40116 60074 82903 333 20240 50460 55089 59002 94390 555 00067 10000;","","","","","","","","","",""
"67205099999","2005-03-29T14:00:00","-11.361789","40.354875","27.12","MOCIMBOA DA PRAIA, MZ","FM-12","4","","80","89","","","","9","76","","29.82","","18.64","","040","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN070AAXX  29123 67205 31580 70405 10315 20267 40099 84906 333 58019 94390;","","","","","","","","","",""
"67205099999","2005-03-30T08:00:00","-11.361789","40.354875","27.12","MOCIMBOA DA PRAIA, MZ","FM-12","4","","73","78","","","","9","86","","29.94","","18.64","","350","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN104AAXX  30063 67205 31580 73504 10255 20230 40139 7299/ 879// 333 20244 50360 55060 58023 94390 555 10067;","","","","","","","","","",""
"67205099999","2005-04-01T08:00:00","-11.361789","40.354875","27.12","MOCIMBOA DA PRAIA, MZ","FM-12","4","","79","85","","","","9","82","","29.93","","18.64","","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN092AAXX  01063 67205 32580 30000 10295 20261 40134 83200 333 20236 50260 55107 59008 555 10000;","","","","","","","","","",""
"67205099999","2005-04-01T14:00:00","-11.361789","40.354875","27.12","MOCIMBOA DA PRAIA, MZ","FM-12","4","","70","91","","","","9","51","","29.84","","18.64","","090","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN064AAXX  01123 67205 32580 70907 10327 20213 40104 82904 333 59021;","","","","","","","","","",""
